Stations_ID;Stationsname;Von_Datum;Bis_Datum
  3244;Memmingen;18790101;18891231
  3244;Memmingen;19030101;19450331
  3244;Memmingen;19501201;19991231
  3244;Memmingen;20000201;

Stations_ID;Betreibername;Von_Datum;Bis_Datum
  3244;Wetterdienst;18790101;18891231
  3244;Wetterdienst;19030101;19450331
  3244;Wetterdienst;19501201;19521110
  3244;DWD;19521111;19991231
  3244;DWD;20000201;
generiert: 23.05.2024 --  Deutscher Wetterdienst  --
