Stations_ID;Stationsname;Geo. Laenge [Grad];Geo. Breite [Grad];Stationshoehe [m];Geberhoehe ueber Grund [m];Von_Datum;Bis_Datum;Geraetetyp Name;Messverfahren;eor;
4104;Regensburg;;;;;18790101;19451231;Gerätetyp unbekannt;Temperaturmessung, konv.;eor;
4104;Regensburg;12.05;49.02;341;2;19460101;19461231;Maximumthermometer;Temperaturmessung, konv.;eor;
4104;Regensburg;12.05;49.02;337.5;2;19470101;19600405;Maximumthermometer;Temperaturmessung, konv.;eor;
4104;Regensburg;12.06;49.02;340.4;2;19600406;19620625;Maximumthermometer;Temperaturmessung, konv.;eor;
4104;Regensburg;12.07;49.01;376;2;19620627;19780917;Maximumthermometer;Temperaturmessung, konv.;eor;
4104;Regensburg;12.1;49.04;366;2;19780918;20061219;Maximumthermometer;Temperaturmessung, konv.;eor;
4104;Regensburg;12.1;49.04;366;2;19940315;20061219;PT 100 (Luft);Temperaturmessung, elektr.;eor;
4104;Regensburg;12.1;49.04;365.36;2;20061220;20240328;PT 100 (Luft);Temperaturmessung, elektr.;eor;
generiert: 23.05.2024 --  Deutscher Wetterdienst  --
