Stations_id;Stationshoehe;Geogr.Breite;Geogr.Laenge;von_datum;bis_datum;Stationsname
  5941;  696.00; 47.6788; 12.4713;18961001;19011231;Reit im Winkl
  5941;  678.00; 47.6689; 12.4523;19020101;19291231;Reit im Winkl
  5941;  676.00; 47.6720; 12.4773;19300101;19360918;Reit im Winkl
  5941;  679.00; 47.6714; 12.4833;19360919;19500831;Reit im Winkl
  5941;  672.00; 47.6708; 12.4821;19500901;19520531;Reit im Winkl
  5941;  700.00; 47.6791; 12.4718;19520601;19551130;Reit im Winkl
  5941;  708.00; 47.6758; 12.4613;19551201;19671011;Reit im Winkl
  5941;  695.00; 47.6758; 12.4807;19671012;19900731;Reit im Winkl
  5941;  675.00; 47.6713; 12.4767;19900801;19950731;Reit im Winkl
  5941;  690.00; 47.6744; 12.4605;19950801;20031031;Reit im Winkl
  5941;  685.50; 47.6754; 12.4698;20060718;        ;Reit im Winkl
