Stations_id;Stationshoehe;Geogr.Breite;Geogr.Laenge;von_datum;bis_datum;Stationsname
  3621;  439.70; 48.8871; 10.4700;18991201;19091231;Reimlingen
  3621;  432.10; 48.8508; 10.4873;19100321;19381207;Reimlingen
  3621;  436.00; 48.8436; 10.4957;19381208;19450430;Reimlingen
  3621;  436.00; 48.8436; 10.4957;19460901;19591124;Reimlingen
  3621;  440.00; 48.8411; 10.4947;19591125;19640731;Reimlingen
  3621;  446.00; 48.8454; 10.4841;19640801;19681215;Reimlingen
  3621;  425.00; 48.8603; 10.4990;19681216;19770630;Reimlingen
  3621;  425.00; 48.8576; 10.5035;19770701;20051231;Reimlingen
  3621;  435.00; 48.8253; 10.5067;20060101;        ;Reimlingen
