STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;JA_N;JA_TT;JA_TX;JA_TN;JA_FK;JA_SD_S;JA_MX_FX;JA_MX_TX;JA_MX_TN;QN_6;JA_RR;JA_MX_RS;eor
       1107;19480101;19481231;    5;  -999;   -999;    -999;    5.06;-999;-999;-999;-999;-999;    5;   759.9;   46.0;eor
       1107;19490101;19491231;    5;  -999;   -999;    -999;    4.53;-999;-999;-999;-999;-999;    5;   512.6;   31.2;eor
       1107;19500101;19501231;    5;  -999;   -999;    -999;    4.71;-999;-999;-999;-999;-999;    5;   877.8;   32.8;eor
       1107;19510101;19511231;    5;  -999;   -999;    -999;    5.25;-999;-999;-999;-999;-999;    5;   711.0;   39.5;eor
       1107;19520101;19521231;    5;  -999;   -999;    -999;    4.41;-999;-999;-999;-999;-999;    5;   918.2;   33.8;eor
       1107;19530101;19531231;    5;  -999;   -999;    -999;    4.27;-999;-999;-999;-999;-999;    5;   452.3;   23.5;eor
       1107;19540101;19541231;    5;  -999;   -999;    -999;    3.87;-999;-999;-999;-999;-999;    5;   890.5;   37.0;eor
       1107;19550101;19551231;    5;  -999;   -999;    -999;    3.58;-999;-999;-999;-999;-999;    5;   763.1;   38.0;eor
       1107;19560101;19561231;    5;  -999;   -999;    -999;    3.16;-999;-999;-999;-999;-999;    5;   837.6;   35.2;eor
       1107;19570101;19571231;    5;  -999;   -999;    -999;    4.78;-999;-999;-999;-999;-999;    5;   824.7;   33.8;eor
       1107;19580101;19581231;    5;  -999;   -999;    -999;    4.59;-999;-999;-999;-999;-999;    5;   867.7;   25.5;eor
       1107;19590101;19591231;    5;  -999;   -999;    -999;    4.92;-999;-999;-999;-999;-999;    5;   530.3;   40.0;eor
       1107;19600101;19601231;    5;  -999;   -999;    -999;    5.30;-999;-999;-999;-999;-999;    5;   698.8;   51.6;eor
       1107;19610101;19611231;    5;  -999;   -999;    -999;    5.71;-999;-999;-999;-999;-999;    5;   809.2;   28.0;eor
       1107;19620101;19621231;    5;  -999;   -999;    -999;    4.21;-999;-999;-999;-999;-999;    5;   597.0;   24.0;eor
       1107;19630101;19631231;    5;  4.70;   6.47;   11.90;    1.65;    1.81;-999;-999;  32.9; -22.6;    5;   670.0;   25.5;eor
       1107;19640101;19641231;    5;  4.92;   7.71;   12.95;    2.86;    1.81;-999;-999;  33.9; -20.1;    5;   478.0;   36.3;eor
       1107;19650101;19651231;    5;  5.46;   7.17;   11.92;    2.73;    2.03;-999;-999;  30.4; -20.0;    5;  1164.4;   77.1;eor
       1107;19660101;19661231;    5;  5.60;   8.37;   12.87;    4.20;    1.42;-999;-999;  33.5; -20.5;    5;   995.8;   27.2;eor
       1107;19670101;19671231;    5;  5.18;   8.22;   13.26;    3.64;    1.22;-999;-999;  32.2; -20.8;    5;   712.3;   31.3;eor
       1107;19680101;19681231;    5;  5.35;   7.61;   12.17;    3.37;    1.30;-999;-999;  29.3; -24.5;    5;   990.1;   33.0;eor
       1107;19690101;19691231;    5;  5.28;   7.23;   12.06;    2.99;    1.39;-999;-999;  32.8; -24.1;    5;   826.9;   45.0;eor
       1107;19700101;19701231;    5;  5.59;   7.23;   11.63;    3.26;    1.36;-999;-999;  30.0; -19.4;    5;   949.7;   27.8;eor
       1107;19710101;19711231;    5;  4.72;   7.72;   13.04;    2.84;    1.24;-999;-999;  33.9; -21.8;    5;   755.9;   61.0;eor
       1107;19720101;19721231;    5;  5.00;   7.03;   12.03;    2.67;    1.27;-999;-999;  31.3; -14.2;    5;   772.5;   46.2;eor
       1107;19730101;19731231;    5;  4.82;   7.34;   12.35;    2.80;    1.32;-999;-999;  31.0; -20.2;    5;   827.1;   29.6;eor
       1107;19740101;19741231;    5;  5.55;   8.29;   12.86;    4.22;    1.18;-999;-999;  33.4;  -9.5;    5;   834.7;   24.9;eor
       1107;19750101;19751231;    5;  4.98;   8.27;   13.17;    4.04;    0.90;-999;-999;  31.7; -15.1;    5;   628.4;   25.1;eor
       1107;19760101;19761231;    5;  4.66;   7.95;   13.21;    2.98;    0.94;-999;-999;  34.0; -21.8;    5;   591.8;   39.0;eor
       1107;19770101;19771231;    5;  5.53;   8.23;   12.78;    4.05;    1.00;-999;-999;  30.7; -11.9;    5;   757.9;   26.8;eor
       1107;19780101;19781231;    5;  5.52;   7.25;   11.61;    3.08;    0.95;-999;-999;  30.0; -16.2;    5;   790.7;   41.0;eor
       1107;19790101;19791231;    5;  5.03;   7.42;   12.43;    2.96;    0.83;-999;-999;  30.5; -21.5;    5;   756.3;   29.1;eor
       1107;19800101;19801231;    5;  5.21;   7.18;   11.76;    3.00;    0.90;-999;-999;  31.4; -15.9;    5;   917.5;   38.0;eor
       1107;19810101;19811231;   10;  5.44;   7.62;   12.29;    3.42;    0.97;-999;-999;  30.2; -17.5;   10;  1076.0;   49.5;eor
       1107;19820101;19821231;   10;  4.68;   8.16;   13.35;    3.61;    0.89;-999;-999;  31.4; -21.7;   10;   672.3;   18.8;eor
       1107;19830101;19831231;   10;  4.85;   8.33;   13.36;    3.75;    0.99;-999;-999;  35.2; -16.0;   10;   756.2;   26.9;eor
       1107;19840101;19841231;   10;  5.34;   7.34;   11.85;    3.33;    0.83;-999;-999;  34.9; -14.5;   10;   810.8;   36.4;eor
       1107;19850101;19851231;   10;  4.83;   6.60;   11.97;    2.06;    0.84;-999;-999;  32.6; -23.2;   10;   635.9;   29.0;eor
       1107;19860101;19861231;   10;  5.19;   7.45;   12.39;    3.13;    0.92;-999;-999;  32.0; -19.0;   10;   908.3;   24.2;eor
       1107;19870101;19871231;   10;  5.47;   6.91;   11.45;    2.97;    0.85;-999;-999;  31.0; -22.4;   10;   901.7;   31.8;eor
       1107;19880101;19881231;   10;  5.48;   8.64;   13.14;    4.59;    0.91;-999;-999;  31.6; -15.0;   10;   908.1;   36.2;eor
       1107;19890101;19891231;   10;  4.90;   8.66;   13.74;    4.25;    0.79;-999;-999;  34.0; -12.8;   10;   814.8;   94.3;eor
       1107;19900101;19901231;   10;  4.91;   8.76;   13.94;    4.10;    0.86;-999;-999;  33.8; -10.5;   10;   827.6;   37.4;eor
       1107;19910101;19911231;   10;  4.59;   7.74;   12.98;    3.01;    0.80;-999;-999;  33.8; -15.5;    9;   511.5;   23.7;eor
       1107;19920101;19921231;   10;  5.02;   8.69;   13.52;    4.23;    0.73;-999;-999;  34.7; -13.0;    9;   809.8;   26.2;eor
       1107;19930101;19931231;   10;  5.14;   8.22;   13.11;    3.71;    1.10;-999;-999;  31.5; -15.6;    9;   733.4;   54.2;eor
       1107;19940101;19941231;   10;  5.24;   9.49;   14.42;    4.96;    1.08;-999;-999;  34.9; -14.4;    9;   754.1;   47.3;eor
       1107;19950101;19951231;   10;  5.44;   8.43;   13.07;    4.28;    1.09;-999;-999;  33.7; -13.5;    9;   969.6;   48.2;eor
       1107;19960101;19961231;   10;  5.38;   6.83;   11.54;    2.51;    1.12;-999;-999;  31.0; -20.9;    9;   756.2;   36.7;eor
