Stations_id;Stationshoehe;Geogr.Breite;Geogr.Laenge;von_datum;bis_datum;Stationsname
  2597;  199.00; 50.2024; 10.0773;18790101;19410630;Kissingen, Bad
  2597;  198.00; 50.2024; 10.0773;19410701;19451231;Kissingen, Bad
  2597;  222.60; 50.1971; 10.0822;19460101;19540630;Kissingen, Bad
  2597;  224.00; 50.2052; 10.0779;19540701;19750101;Kissingen, Bad
  2597;  224.00; 50.2050; 10.0780;19750102;19780423;Kissingen, Bad
  2597;  262.00; 50.1961; 10.0853;19780424;20041220;Kissingen, Bad
  2597;  281.80; 50.2240; 10.0792;20041221;20060620;Kissingen, Bad
  2597;  281.73; 50.2240; 10.0792;20060621;20090620;Kissingen, Bad
  2597;  281.73; 50.2240; 10.0792;20090621;20150302;Kissingen, Bad
  2597;  281.73; 50.2240; 10.0792;20150303;        ;Kissingen, Bad
