STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;JA_N;JA_TT;JA_TX;JA_TN;JA_FK;JA_SD_S;JA_MX_FX;JA_MX_TX;JA_MX_TN;QN_6;JA_RR;JA_MX_RS;eor
        232;19470101;19471231;    5;  5.21;   8.89;   14.29;    3.73;    1.96; 2145.20;-999;  36.1; -21.8;    5;   737.1;   56.1;eor
        232;19480101;19481231;    5;  5.34;   8.89;   13.86;    4.37;    2.04; 1991.00;-999;  30.6; -14.4;    5;   792.5;   31.1;eor
        232;19490101;19491231;    5;  4.97;   8.91;   14.19;    4.00;    2.09; 2175.20;-999;  34.3; -17.1;    5;   693.2;   35.6;eor
        232;19500101;19501231;    5;  5.21;   8.84;   13.62;    4.28;    2.05; 1971.30;-999;  33.4; -14.4;    5;   806.0;   35.6;eor
        232;19510101;19511231;    5;  5.43;   8.70;   13.39;    4.36;    1.86; 1787.10;-999;  31.4; -11.2;    5;   885.5;   37.7;eor
        232;19520101;19521231;    5;  5.63;   8.30;   12.76;    3.97;    1.96; 1715.10;-999;  35.6; -13.9;    5;   827.0;   29.0;eor
        232;19530101;19531231;    5;  5.30;   8.57;   13.74;    3.89;    1.84; 1994.10;-999;  32.5; -17.6;    5;   592.0;   35.5;eor
        232;19540101;19541231;    5;  5.75;   7.69;   12.07;    3.79;    2.03; 1626.70;-999;  30.9; -16.9;    5;   932.2;   32.4;eor
        232;19550101;19551231;    5;  5.72;   7.54;   11.97;    3.49;    1.91; 1656.60;-999;  30.9; -13.8;    5;   858.4;   46.3;eor
        232;19560101;19561231;    5;  5.68;   6.63;   11.33;    2.61;    1.91; 1685.30;-999;  30.8; -26.1;    5;   880.8;   38.3;eor
        232;19570101;19571231;    5;  5.40;   8.30;   13.06;    4.18;    1.66; 1818.00;-999;  36.5; -17.4;    5;   685.9;   33.6;eor
        232;19580101;19581231;    5;  5.62;   8.30;   12.69;    4.22;    2.28; 1764.50;-999;  32.0; -14.5;    5;   897.6;   32.9;eor
        232;19590101;19591231;    5;  4.91;   8.70;   14.01;    4.08;    2.23; 2067.50;-999;  33.4; -17.8;    5;   663.3;   47.7;eor
        232;19600101;19601231;    5;  6.01;   8.42;   12.92;    4.57;    2.29; 1612.00;-999;  30.3; -17.1;    5;   767.5;   27.0;eor
        232;19610101;19611231;    5;  5.45;   8.98;   13.89;    4.64;    2.26; 1856.40;-999;  31.0; -17.2;    5;   744.3;   38.6;eor
        232;19620101;19621231;    5;  5.43;   7.21;   11.91;    2.94;    2.14; 1918.60;-999;  33.0; -19.8;    5;   661.6;   30.9;eor
        232;19630101;19631231;    5;  5.40;   7.08;   11.67;    2.82;    2.22; 1773.10;-999;  32.8; -22.7;    5;   774.2;   51.4;eor
        232;19640101;19641231;    5;  5.39;   8.27;   12.67;    4.11;    2.21; 1711.60;-999;  34.0; -14.6;    5;   706.4;   38.1;eor
        232;19650101;19651231;    5;  5.67;   7.48;   11.90;    3.60;    2.21; 1537.90;-999;  32.0; -16.7;    5;  1058.1;   71.0;eor
        232;19660101;19661231;    5;  5.71;   8.73;   12.92;    4.87;    2.13; 1609.30;-999;  35.0; -18.5;    5;  1028.6;   36.4;eor
        232;19670101;19671231;    5;  5.06;   8.79;   13.47;    4.52;    2.17; 1941.30;-999;  33.0; -17.7;    5;   810.6;   46.5;eor
        232;19680101;19681231;    5;  5.66;   8.15;   12.43;    4.25;    2.08; 1610.70;-999;  29.5; -19.8;    5;   887.7;   51.7;eor
        232;19690101;19691231;    5;  5.38;   8.01;   12.41;    3.88;    2.07; 1747.70;-999;  32.0; -16.4;    5;   773.7;   63.7;eor
        232;19700101;19701231;    5;  5.66;   8.02;   12.07;    4.38;    2.29; 1573.00;-999;  31.5; -12.6;    5;   930.0;   35.1;eor
        232;19710101;19711231;    5;  4.83;   8.46;   13.20;    4.01;    1.97; 1957.60;  24.2;  33.2; -17.6;    5;   649.7;   46.8;eor
        232;19720101;19721231;    5;  5.26;   7.91;   12.38;    3.75;    1.96; 1678.80;  26.8;  34.6; -11.2;    5;   714.7;   36.5;eor
        232;19730101;19731231;    5;  5.27;   8.14;   12.36;    4.22;    2.16; 1722.00;  32.7;  31.5; -16.6;    5;   822.3;   46.6;eor
        232;19740101;19741231;    5;  5.67;   8.93;   13.04;    5.20;    2.28; 1581.40;  30.1;  33.7;  -7.5;    5;   999.5;   30.2;eor
        232;19750101;19751231;    5;  5.22;   8.79;   12.99;    5.05;    2.01; 1721.10;  26.3;  32.4; -18.5;    5;   826.5;   30.6;eor
        232;19760101;19761231;    5;  5.13;   8.61;   12.92;    4.53;    2.03; 1827.00;  35.0;  34.5; -16.5;    5;   733.0;   28.7;eor
        232;19770101;19771231;    5;  5.80;   9.00;   13.22;    5.21;    2.10; 1481.20;  28.6;  31.2; -11.0;    5;   974.0;   51.9;eor
        232;19780101;19781231;    5;  5.63;   7.78;   11.88;    3.99;    2.05; 1581.80;  28.8;  29.4; -13.8;    5;   919.3;   47.3;eor
        232;19790101;19791231;    5;  5.43;   8.19;   12.67;    4.04;    1.90; 1648.30;-999;  30.9; -17.8;    5;   914.9;   39.6;eor
        232;19800101;19801231;    5;  5.45;   7.48;   11.82;    3.38;    2.05; 1527.00;  22.1;  33.4; -19.2;    5;   752.1;   32.4;eor
        232;19810101;19811231;   10;  5.36;   8.10;   12.63;    3.56;    1.92; 1593.00;  27.3;  29.8; -15.7;   10;   911.6;   36.2;eor
        232;19820101;19821231;   10;  4.97;   8.48;   13.14;    4.11;    1.89; 1785.50;  26.8;  31.6; -22.2;   10;   776.1;   50.7;eor
        232;19830101;19831231;   10;  4.88;   8.67;   13.42;    4.08;    2.01; 1746.70;  26.8;  37.1; -14.0;   10;   695.5;   49.5;eor
        232;19840101;19841231;   10;  5.13;   7.57;   11.85;    3.26;    1.94; 1616.50;  29.7;  35.0; -16.4;   10;   682.6;   42.7;eor
        232;19850101;19851231;   10;  4.98;   7.31;   12.06;    2.73;    2.05; 1824.00;  26.3;  32.5; -27.1;   10;   773.0;   33.9;eor
        232;19860101;19861231;   10;  5.15;   7.84;   12.43;    3.47;    2.09; 1666.10;  33.4;  31.4; -24.0;   10;   744.2;   31.0;eor
        232;19870101;19871231;   10;  5.50;   7.66;   11.80;    3.75;    2.03; 1420.20;  25.8;  30.6; -24.9;   10;   835.8;   43.0;eor
        232;19880101;19881231;   10;  5.38;   8.92;   13.17;    4.77;    2.21; 1513.80;  28.3;  32.3; -11.2;   10;   693.0;   28.2;eor
        232;19890101;19891231;   10;  4.97;   8.78;   13.42;    4.55;    1.86; 1673.90;  22.1;  32.6; -14.2;   10;   765.9;   37.2;eor
        232;19900101;19901231;   10;  4.76;   8.91;   13.79;    4.32;    2.05; 1909.90;  36.1;  32.2; -13.2;   10;   756.0;   35.5;eor
        232;19910101;19911231;   10;  4.89;   7.89;   12.42;    3.55;    1.97; 1780.80;  26.2;  33.0; -17.0;    9;   631.4;   48.5;eor
        232;19920101;19921231;   10;  5.09;   9.19;   13.68;    4.93;    2.00; 1643.80;  31.4;  35.9; -11.6;    9;   797.8;   35.5;eor
        232;19930101;19931231;   10;  5.27;   8.61;   12.99;    4.47;    2.05; 1668.00;  29.3;  32.5; -14.9;    9;   735.5;   36.1;eor
        232;19940101;19941231;   10;  5.37;  10.04;   14.47;    5.92;    2.04; 1724.20;-999;  34.7; -13.4;    9;   838.2;   52.9;eor
        232;19950101;19951231;   10;  5.54;   8.79;   12.94;    4.85;    2.09; 1580.30;  30.4;  34.7; -15.8;    9;   831.1;   36.8;eor
        232;19960101;19961231;   10;  5.55;   7.33;   11.40;    3.36;    2.11; 1640.50;  24.7;  30.6; -19.1;    9;   648.7;   33.0;eor
        232;19970101;19971231;   10;  5.25;   8.84;   13.64;    4.41;    2.26;-999;  34.0;  30.0; -14.4;    9;   522.5;   23.6;eor
