STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;JA_N;JA_TT;JA_TX;JA_TN;JA_FK;JA_SD_S;JA_MX_FX;JA_MX_TX;JA_MX_TN;QN_6;JA_RR;JA_MX_RS;eor
       3730;18860101;18861231;    5;  -999;   5.86;    -999;    -999;-999;-999;-999;-999;-999;    5;  1449.0;-999;eor
       3730;18870101;18871231;    5;  -999;   4.20;   10.43;   -0.49;-999;-999;-999;-999;-999;    5;  1407.0;-999;eor
       3730;18880101;18881231;    5;  -999;   4.57;   10.46;   -0.92;-999;-999;-999;-999;-999;    5;  1772.0;-999;eor
       3730;18890101;18891231;    5;  -999;   4.22;    9.97;   -1.50;-999;-999;-999;-999;-999;    5;  1627.0;-999;eor
       3730;18900101;18901231;    5;  -999;   4.55;   10.52;    0.18;-999;-999;-999;-999;-999;    5;  1721.0;-999;eor
       3730;18910101;18911231;    5;  -999;   4.55;   11.27;   -0.37;-999;-999;-999;-999;-999;    5;  1524.0;-999;eor
       3730;18920101;18921231;    5;  -999;   5.58;   12.08;    0.64;-999;-999;-999;-999;-999;    5;  1511.0;-999;eor
       3730;18930101;18931231;    5;  -999;   5.58;   11.68;    0.78;-999;-999;-999;-999;-999;    5;  1366.0;-999;eor
       3730;18940101;18941231;    5;  -999;   5.59;   11.44;    0.95;-999;-999;-999;-999;-999;    5;  1498.0;-999;eor
       3730;18950101;18951231;    5;  -999;   5.20;   11.44;    0.55;-999;-999;-999;-999;-999;    5;  1505.0;-999;eor
       3730;18960101;18961231;    5;  -999;   4.81;   10.59;    1.10;-999;-999;-999;-999;-999;    5;  1829.0;-999;eor
       3730;18970101;18971231;    5;  -999;   5.82;   12.05;    1.25;-999;-999;-999;-999;-999;    5;  1844.0;-999;eor
       3730;18980101;18981231;    5;  -999;   6.32;   12.83;    1.61;-999;-999;-999;-999;-999;    5;  1478.0;-999;eor
       3730;18990101;18991231;    5;  -999;   6.04;   12.55;    1.53;-999;-999;-999;-999;-999;    5;  1625.0;-999;eor
       3730;19000101;19001231;    5;  -999;   6.20;   12.18;    2.03;-999;-999;-999;-999;-999;    5;  1478.0;-999;eor
       3730;19010101;19011231;    5;  -999;   5.48;   10.93;    0.40;-999;-999;-999;-999;-999;    5;  1493.0;-999;eor
       3730;19020101;19021231;    5;  -999;   5.88;   10.75;    0.90;-999;-999;-999;-999;-999;    5;  1640.0;-999;eor
       3730;19030101;19031231;    5;  -999;   6.12;   11.59;    0.04;-999;-999;-999;-999;-999;    5;  1631.0;-999;eor
       3730;19040101;19041231;    5;  -999;   6.63;   11.87;    0.53;-999;-999;-999;-999;-999;    5;  1609.0;-999;eor
       3730;19050101;19051231;    5;  -999;   5.80;   11.03;   -0.17;-999;-999;-999;-999;-999;    5;  2070.0;-999;eor
       3730;19060101;19061231;    5;  -999;   5.94;   11.24;   -1.29;-999;-999;-999;-999;-999;    5;  2179.0;-999;eor
       3730;19070101;19071231;    5;  -999;   6.02;   11.54;    0.85;-999;-999;-999;-999;-999;    5;  1529.0;-999;eor
