Stations_id;Stationshoehe;Geogr.Breite;Geogr.Laenge;von_datum;bis_datum;Stationsname
  3679;  485.00; 47.6669; 12.1684;18990105;19360331;Kiefersfelden-Gach
  3679;  480.00; 47.6474; 12.1725;19360401;19430930;Kiefersfelden-Gach
  3679;  480.00; 47.6506; 12.1755;19431001;19710930;Kiefersfelden-Gach
  3679;  480.00; 47.6485; 12.1848;19711001;19711231;Kiefersfelden-Gach
  3679;  480.00; 47.6485; 12.1881;19720427;19880430;Kiefersfelden-Gach
  3679;  500.00; 47.6210; 12.1861;19880501;19880630;Kiefersfelden-Gach
  3679;  484.00; 47.6389; 12.1760;19880801;19960531;Kiefersfelden-Gach
  3679;  480.00; 47.6506; 12.1753;19960601;19980630;Kiefersfelden-Gach
  3679;  490.00; 47.6604; 12.1658;19980901;20020331;Kiefersfelden-Gach
  3679;  518.00; 47.6187; 12.1665;20060720;        ;Kiefersfelden-Gach
