STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;JA_N;JA_TT;JA_TX;JA_TN;JA_FK;JA_SD_S;JA_MX_FX;JA_MX_TX;JA_MX_TN;QN_6;JA_RR;JA_MX_RS;eor
       3739;19490101;19491231;    5;  -999;   7.78;   12.34;    3.62;-999;-999;-999;  33.2; -12.7;-999;-999;-999;eor
       3739;19500101;19501231;    5;  4.95;   7.53;   12.24;    3.19;    1.49;-999;-999;  31.8; -18.6;    5;   748.4;   26.8;eor
       3739;19510101;19511231;    5;  4.88;   7.49;   12.04;    3.20;    1.48;-999;-999;  30.6; -12.0;    5;   628.9;   30.4;eor
       3739;19520101;19521231;    5;  5.32;   6.76;   11.04;    2.58;    1.54;-999;-999;  33.3; -14.3;    5;   974.8;   32.9;eor
       3739;19530101;19531231;    5;  4.43;   7.63;   12.49;    3.25;    1.29;-999;-999;  29.2; -15.8;    5;   536.9;   49.8;eor
       3739;19540101;19541231;    5;  4.81;   6.21;   10.48;    2.29;    1.68;-999;-999;  29.7; -19.1;    5;   989.1;   71.2;eor
       3739;19550101;19551231;    5;  4.74;   6.10;   10.53;    2.01;    1.59;-999;-999;  29.2; -15.3;    5;   895.5;   57.5;eor
       3739;19560101;19561231;    5;  4.88;   5.40;    9.79;    1.19;    1.32;-999;-999;  27.2; -28.1;    5;   878.6;   33.0;eor
       3739;19570101;19571231;    5;  4.87;   7.21;   11.57;    3.01;    1.20;-999;-999;  34.2; -16.0;    5;   893.0;   35.0;eor
       3739;19580101;19581231;    5;  5.04;   7.07;   11.38;    2.90;    1.18;-999;-999;  29.8; -14.9;    5;  1000.7;   43.4;eor
       3739;19590101;19591231;    5;  4.05;   7.74;   12.85;    3.02;    1.34;-999;-999;  32.4; -16.1;    5;   673.5;   45.7;eor
       3739;19600101;19601231;    5;  4.95;   7.24;   11.65;    3.02;    1.60;-999;-999;  31.0; -18.5;    5;   821.5;   35.0;eor
       3739;19610101;19611231;    5;  4.68;   7.73;   12.47;    3.31;    1.93;-999;-999;  30.4; -18.6;    5;   844.1;   31.8;eor
       3739;19620101;19621231;    5;  4.72;   5.78;   10.65;    1.38;    2.14;-999;-999;  31.7; -23.6;    5;   673.3;   25.8;eor
       3739;19630101;19631231;    5;  4.54;   6.09;   10.93;    1.87;    1.60;-999;-999;  32.0; -23.6;    5;   649.9;   33.6;eor
       3739;19640101;19641231;    5;  4.44;   6.77;   11.48;    2.51;    1.35;-999;-999;  31.7; -20.8;    5;   642.9;   24.6;eor
       3739;19650101;19651231;    5;  5.23;   6.25;   10.63;    2.31;    1.32;-999;-999;  31.1; -18.0;    5;   996.2;   35.9;eor
       3739;19660101;19661231;    5;  5.06;   7.63;   11.92;    3.97;    1.38;-999;-999;  30.6; -19.9;    5;  1101.1;   33.3;eor
       3739;19670101;19671231;    5;  4.67;   7.54;   12.12;    3.60;    1.17;-999;-999;  30.9; -23.4;    5;   869.6;   52.3;eor
       3739;19680101;19681231;    5;  5.03;   6.85;   11.19;    3.13;    1.39;-999;-999;  28.7; -19.5;    5;   884.2;   31.2;eor
       3739;19690101;19691231;    5;  5.56;   6.75;   10.94;    2.28;    2.27;-999;-999;  31.8; -22.7;    5;   680.8;   27.7;eor
       3739;19700101;19701231;    5;  6.15;   6.58;   10.30;    2.80;    2.34;-999;-999;  28.8; -19.4;    5;  1106.9;   67.1;eor
       3739;19710101;19711231;    5;  4.82;   7.29;   11.54;    2.88;    0.98;-999;-999;  32.0; -21.8;-999;-999;-999;eor
       3739;19720101;19721231;    5;  5.05;   6.80;   10.81;    2.57;    0.98;-999;-999;  30.1; -16.5;    5;   555.9;   33.5;eor
       3739;19730101;19731231;    5;  5.27;   6.83;   10.97;    2.56;    1.10;-999;-999;  30.0; -21.4;    5;   727.9;   23.3;eor
       3739;19740101;19741231;    5;  5.69;   7.82;   11.54;    3.84;    1.09;-999;-999;  31.1;  -7.9;    5;  1100.7;   28.1;eor
