Stations_id;Stationshoehe;Geogr.Breite;Geogr.Laenge;von_datum;bis_datum;Stationsname
  4261;  446.00; 47.8535; 12.1242;18790101;18830630;Rosenheim
  4261;  446.00; 47.8600; 12.1323;18830701;18930728;Rosenheim
  4261;  446.00; 47.8548; 12.1354;18930729;19070630;Rosenheim
  4261;  447.00; 47.8604; 12.1118;19490823;19540331;Rosenheim
  4261;  449.00; 47.8490; 12.1129;19540401;19600630;Rosenheim
  4261;  446.00; 47.8668; 12.1076;19600701;19690819;Rosenheim
  4261;  446.00; 47.8680; 12.1079;19690820;19870831;Rosenheim
  4261;  444.00; 47.8764; 12.1298;19870917;20020428;Rosenheim
  4261;  444.00; 47.8753; 12.1305;20020429;20060228;Rosenheim
  4261;  442.00; 47.8753; 12.1280;20060301;        ;Rosenheim
